번호,상호,도로명주소,지번주소
1,꽃길복권방,서울 강북구 덕릉로 140,서울 강북구 번2동 437-10번지
2,다모아,서울 구로구 공원로6나길 39-1 ,서울 구로구 구로동 29-21
3,다모아복권명당,서울 구로구 서해안로30길 13-7,서울 구로구 오류동 137-46번지
4,다모아복권,서울 구로구 경인로19길 4,서울 구로구 오류동 315-14번지
5,팡팡복권방,서울 중구 퇴계로6길 5,서울 중구 회현동1가 194-11번지
6,노다지복권방,서울 성북구 화랑로13길 20,서울 성북구 하월곡동 21-103번지
7,한경종합광고,서울 송파구 백제고분로 198 정민빌딩,서울 송파구 삼전동 28-8
8,하이로또,서울 금천구 금하로 686 ,서울 금천구 시흥동 908-2
9,대박찬스,서울 강북구 솔매로 105-1,서울 강북구 미아동 224-58번지
10,복권방,서울 구로구 도림로 55-1,서울 구로구 구로4동 767-182번지
11,복권,서울 중구 을지로 지하 58,서울 중구 을지로2가 9-7번지
12,행운마트,서울 중구 마른내로 54-1,서울 중구 인현동1가 97-2번지
13,대지사,서울 성동구 왕십리로 362 ,서울 성동구 도선동 363-1
14,넘보원 마트,서울 도봉구 도봉로165길 2,서울 도봉구 도봉동 596-24
15,수연식품(대박찬스),서울 중랑구 면목로48길 11,서울 중랑구 면목동 458-120번지
16,복권,서울 중랑구 망우로30길 8,서울 중랑구 상봉동 136-50번지
17,복권나라,서울 송파구 백제고분로32길 23,서울 송파구 삼전동 175번지
18,코사마트독산점,서울 금천구 독산로75길 15 ,서울 금천구 독산동 1018-26
19,코사마트 평창점,서울 종로구 평창11길 5,서울 종로구 평창동 339번지
20,코사마트,서울 구로구 공원로 35,서울 구로구 구로5동 108-2번지
21,신림용꿈돼지꿈,서울 관악구 남부순환로 1869 ,서울 관악구 봉천동 1673-16
22,산성슈퍼,서울 송파구 성내천로63길 6 ,서울 송파구 거여동 577
23,복권명당,서울 관악구 장군봉1길 43 ,서울 관악구 봉천동 927-20
24,복권세계,서울 구로구 우마길 4,서울 구로구 가리봉동 124-2번지
25,히딩크복권방,서울 광진구 자양로13길 62,서울 광진구 자양동 623-28번지
26,영광생활유통,서울 금천구 범안로 1186 ,서울 금천구 독산동 1006-19
27,복권만화,서울 서초구 사임당로 39,서울 서초구 서초동 1578-5
28,하이로또복권방,서울 중구 청구로14길 3,서울 중구 신당동 387-60번지
29,대박복권방,서울 중구 퇴계로 398,서울 중구 무학동 11-2번지
30,행운복권방,서울 중구 다산로35길 11,서울 중구 신당동 241-5번지
31,짱복권,서울 종로구 종로 269,서울 종로구 종로6가 93-1
32,주택복권사랑방,서울 구로구 경인로53길 15,서울 구로구 구로동 1258번지
33,복권마을,서울 구로구 구로동로 72,서울 구로구 구로4동 805-20번지
34,복권명가,서울 구로구 개봉로 26,서울 구로구 개봉동 403-165번지
35,노다지복권방,서울 동대문구 한빛로 1-1,서울 동대문구 신설동 84-1번지
36,노다지 노원역점 복권방,서울 노원구 상계로 78,서울 노원구 상계동 340-1번지
37,복권방(천하명당),서울 성동구 행당로 75,서울 성동구 행당동 347번지
38,복권클럽,서울 성동구 독서당로 318 ,서울 성동구 금호동4가 147
39,신성사,서울 영등포구 신길로 63 ,서울 영등포구 신길동 448-3
40,행운의사랑방,서울 영등포구 도림로 465,서울 영등포구 문래동4가 6-1번지
41,왕대박,서울 영등포구 영등포로84길 12,서울 영등포구 신길동 73-12
42,복권마을,서울 영등포구 가마산로 421-2,서울 영등포구 신길동 347-220번지
43,복권천국,서울 서초구 서초대로 97,서울 서초구 방배4동 874-7번지
44,천하명당복권방,서울 은평구 은평로 51,서울 은평구 신사동 3-11번지
45,행운복권방,서울 은평구 연서로 258 ,서울 은평구 불광동 320-1
46,복권전문점,서울 도봉구 도당로 123-1,서울 도봉구 방학1동 658-27번지
47,나눔,서울 도봉구 도당로13길 34,서울 도봉구 방학동 634번지
48,캐논종합,서울 용산구 새창로 156,서울 용산구 신계동 36-14
49,노다지복권방,서울 양천구 월정로 137,서울 양천구 신월1동 116-14번지
